emp_no,first_name,title
10001,Georgi,Senior Engineer
10004,Chirstian,Senior Engineer
10005,Kyoichi,Senior Staff
10006,Anneke,Senior Engineer
10009,Sumant,Senior Engineer
10011,Mary,Staff
10018,Kazuhide,Senior Engineer
10019,Lillian,Staff
10020,Mayuko,Engineer
10022,Shahaf,Engineer
10023,Bojan,Engineer
10026,Yongqiao,Senior Engineer
10035,Alain,Senior Engineer
10047,Zvonko,Senior Engineer
10051,Hidefumi,Senior Engineer
10053,Sanjiv,Senior Staff
10057,Ebbe,Senior Engineer
10058,Berhard,Senior Staff
10059,Alejandro,Senior Staff
10063,Gino,Senior Engineer
10066,Kwee,Senior Engineer
10067,Claudi,Senior Engineer
10070,Reuven,Technique Leader
10072,Hironoby,Senior Engineer
10073,Shir,Engineer
10074,Mokhtar,Technique Leader
10076,Erez,Senior Engineer
10088,Jungsoon,Senior Staff
10091,Amabile,Senior Engineer
10096,Jayson,Engineer
10097,Remzi,Senior Staff
10100,Hironobu,Senior Staff
10101,Perla,Staff
10103,Akemi,Engineer
10106,Eben,Senior Engineer
10108,Lunjin,Staff
10116,Dayanand,Senior Engineer
10126,Kayoko,Senior Staff
10127,Subir,Senior Engineer
10129,Armond,Technique Leader
10130,Nishit,Senior Engineer
10131,Magdalena,Engineer
10134,Diederik,Senior Engineer
10138,Perry,Senior Engineer
10149,Xiadong,Staff
10150,Zhenbing,Senior Engineer
10152,Jaques,Engineer
10153,Heekeun,Assistant Engineer
10157,Nigel,Senior Engineer
10159,Serif,Senior Engineer
10160,Debatosh,Senior Staff
10161,Hairong,Engineer
10163,Karsten,Senior Staff
10166,Samphel,Engineer
10177,Pragnesh,Staff
10183,Mechthild,Staff
10186,Shigehito,Staff
10189,Khalid,Engineer
10194,Josyula,Senior Staff
10196,Marc,Staff
10198,Pranav,Senior Engineer
10203,Steen,Senior Staff
10205,Mabhin,Senior Engineer
10207,Girolamo,Senior Engineer
10215,Xiaobin,Senior Staff
10217,Yongmin,Technique Leader
10219,Genta,Senior Staff
10224,Leon,Senior Engineer
